date,amount,description,account_id
2020-02-26,170.26,Transfer from checking,ACC-002
2020-03-26,255.21,Transfer from checking,ACC-002
2020-04-24,227.41,Transfer from checking,ACC-002
2020-05-26,172.69,Transfer from checking,ACC-002
2020-06-26,229.81,Transfer from checking,ACC-002
2020-07-24,213.54,Transfer from checking,ACC-002
2020-08-26,183.95,Transfer from checking,ACC-002
2020-09-25,244.59,Transfer from checking,ACC-002
2020-10-26,204.90,Transfer from checking,ACC-002
2020-11-26,250.92,Transfer from checking,ACC-002
2020-12-25,181.09,Transfer from checking,ACC-002
2021-01-26,230.45,Transfer from checking,ACC-002
2021-02-26,279.08,Transfer from checking,ACC-002
2021-03-26,203.32,Transfer from checking,ACC-002
2021-04-26,253.35,Transfer from checking,ACC-002
2021-05-26,186.19,Transfer from checking,ACC-002
2021-06-25,279.04,Transfer from checking,ACC-002
2021-07-26,204.10,Transfer from checking,ACC-002
2021-08-26,280.76,Transfer from checking,ACC-002
2021-09-24,183.11,Transfer from checking,ACC-002
2021-10-26,282.36,Transfer from checking,ACC-002
2021-11-26,246.26,Transfer from checking,ACC-002
2021-12-24,212.77,Transfer from checking,ACC-002
2022-01-26,301.34,Transfer from checking,ACC-002
2022-02-25,233.51,Transfer from checking,ACC-002
2022-03-25,323.41,Transfer from checking,ACC-002
2022-04-26,317.88,Transfer from checking,ACC-002
2022-05-26,301.84,Transfer from checking,ACC-002
2022-06-24,261.17,Transfer from checking,ACC-002
2022-07-26,248.54,Transfer from checking,ACC-002
2022-08-26,251.14,Transfer from checking,ACC-002
2022-09-26,291.72,Transfer from checking,ACC-002
2022-10-26,281.71,Transfer from checking,ACC-002
2022-11-25,289.39,Transfer from checking,ACC-002
2022-12-26,326.46,Transfer from checking,ACC-002
2023-01-26,268.77,Transfer from checking,ACC-002
2023-02-24,272.87,Transfer from checking,ACC-002
2023-03-24,313.92,Transfer from checking,ACC-002
2023-04-26,318.00,Transfer from checking,ACC-002
2023-05-26,358.68,Transfer from checking,ACC-002
2023-06-26,283.38,Transfer from checking,ACC-002
2023-07-26,373.99,Transfer from checking,ACC-002
2023-08-25,344.82,Transfer from checking,ACC-002
2023-09-26,357.34,Transfer from checking,ACC-002
2023-10-26,360.42,Transfer from checking,ACC-002
2023-11-26,305.00,Transfer from checking,ACC-002
2023-12-26,461.16,Transfer from checking,ACC-002
2024-01-26,477.09,Transfer from checking,ACC-002
2024-02-26,314.28,Transfer from checking,ACC-002
2024-03-26,482.63,Transfer from checking,ACC-002
2024-04-26,425.49,Transfer from checking,ACC-002
2024-05-26,444.42,Transfer from checking,ACC-002
2024-06-26,322.37,Transfer from checking,ACC-002
2024-07-26,333.03,Transfer from checking,ACC-002
2024-08-26,441.57,Transfer from checking,ACC-002
2024-09-26,393.40,Transfer from checking,ACC-002
2024-10-26,310.12,Transfer from checking,ACC-002
2024-11-26,491.46,Transfer from checking,ACC-002
2024-12-26,380.76,Transfer from checking,ACC-002
2025-01-26,301.86,Transfer from checking,ACC-002
2025-02-26,410.92,Transfer from checking,ACC-002
2025-03-26,426.86,Transfer from checking,ACC-002
2025-04-26,361.65,Transfer from checking,ACC-002
2025-05-26,462.15,Transfer from checking,ACC-002
2025-06-26,474.26,Transfer from checking,ACC-002
2025-07-26,321.68,Transfer from checking,ACC-002
2025-08-26,432.85,Transfer from checking,ACC-002
2025-09-26,409.59,Transfer from checking,ACC-002
2025-10-26,463.68,Transfer from checking,ACC-002
2025-11-26,472.09,Transfer from checking,ACC-002
2025-12-26,478.40,Transfer from checking,ACC-002
2026-01-26,327.67,Transfer from checking,ACC-002
2026-02-26,370.35,Transfer from checking,ACC-002
2026-03-26,406.82,Transfer from checking,ACC-002
2026-04-26,449.80,Transfer from checking,ACC-002
